number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp,Type
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29.0,0
5,92.729214,766.44,161.2,5821.4858,90.89,7.7844,172.205316,2.0,26.0,0
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,19.0,0
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,22.0,0
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,23.0,0
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,11.0,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,33.0,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,36.0,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,31.0,0
5,111.273574,821.54,162.4,6430.2858,65.77,5.9824,87.865316,2.2,26.0,0
5,92.729214,766.44,161.2,5821.4858,90.89,7.7844,172.205316,2.0,27.0,0
5,69.17125,753.08,170.4,3698.6858,62.564,8.2524,127.005316,2.2,82.0,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,30.0,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,39.0,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,14.8,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30.0,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,35.5,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,23.3,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,18.2,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,18.3,0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,37.5,0
4,64.6322175,797.15,145.5,4164.35725,78.9425,7.0405,153.256645,2.25,20.0,0
4,97.4816,790.9,167.0,4760.35725,82.3375,7.2555,114.256645,2.25,76.9,0
4,97.4816,790.9,167.0,4760.35725,82.3375,7.2555,114.256645,2.25,65.3,0
4,97.4816,790.9,167.0,4760.35725,82.3375,7.2555,114.256645,2.25,78.6,1
6,102.741978333333,708.95,180.333333333333,4636.23816666667,64.23,7.22033333333333,84.1710966666667,2.33333333333333,79.3,1
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,90.0,1
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,90.5,1
4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,92.0,1
4,96.4516525,787.4,167.0,5447.85725,82.3375,9.5305,108.756645,2.25,93.2,1
4,96.4516525,787.4,167.0,5447.85725,82.3375,9.5305,108.756645,2.25,94.4,1
4,96.4516525,787.4,167.0,5447.85725,82.3375,9.5305,108.756645,2.25,80.5,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,48.0,0
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.0,1
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,80.0,1
4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,85.0,1
4,92.2091,776.875,169.25,4428.85725,82.3375,7.6555,108.006645,2.25,8.0,0
4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,13.0,0
4,94.8431,781.9,168.5,5255.60725,82.3375,8.1055,107.256645,2.25,91.0,1
4,95.45068,783.65,168.0,5316.60725,82.3375,9.5805,108.506645,2.25,94.0,1
4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,93.0,1
4,96.4516525,787.4,167.0,5447.85725,82.3375,9.5305,108.756645,2.25,93.0,1
4,97.9598,768.4,165.75,5578.10725,82.3375,10.8305,108.506645,2.25,91.0,1
4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,18.0,0
4,91.8081,775.175,171.0,4956.10725,82.3375,7.4555,107.756645,2.25,43.0,0
4,93.5306,788.7,169.75,5093.10725,82.3375,7.8305,107.256645,2.25,40.0,0
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,70.0,0
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,95.5,1
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,94.0,1
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,88.0,1
